id,created_at,text
1.01726E+18,7/12/18 4:16,"b' of course! it\xe2\x80\x99s about time we start our own political talk show, clearly America needs us'"
1.01271E+18,6/29/18 14:54,b'RT : This photo of Amelia Earhart before her first flight warms my heart '
1.01255E+18,6/29/18 4:32,b'RT : '
1.00961E+18,6/21/18 1:52,b'RT : I believe that Young Thug could effectively lead our country thru a national crisis off the strength of this photo alone h\xe2\x80\xa6'
9.93256E+17,5/6/18 22:28,b'Yee Yee  Calf Fry Festival '
9.92203E+17,5/4/18 0:44,b'  '
9.85635E+17,4/15/18 21:43,b'RT : '
9.83516E+17,4/10/18 1:23,b'this picture was taken at the exact moment someone put the yodeling\xe2\x80\xa6 '
9.81041E+17,4/3/18 5:30,b'RT : The most inspirational story of all time '
9.80957E+17,4/2/18 23:55,b'RT : #EnoughIsEnough we will be hosting a school supplies and book drive from April 2 - April 15. Solo donations can be made b\xe2\x80\xa6'
9.77298E+17,3/23/18 21:34,b'\xe2\x80\x9cyou have one hour to pack your things and vacate the property\xe2\x80\x9d \xe2\x80\xa6 '
9.75072E+17,3/17/18 18:10,"b""RT : Girlfriend: what's wrong\n\nBoyfriend: nothing I'm fine\n\nGf: okay cool\n\nBf: I just think it's funny how I had Arizona in\xe2\x80\xa6"""
9.74634E+17,3/16/18 13:10,b'RT : Everything wrong with Fox News in one video '
9.74512E+17,3/16/18 5:06,"b""RT : Hi my name is Trae I don't have a basketball game tomorrow """
9.45181E+17,12/25/17 6:36,b'RT : Merry Christmas to everyone besides Russ'
9.44859E+17,12/24/17 9:16,b'  '
9.26631E+17,11/4/17 2:02,b'RT : This is just straight up character assassination. No one deserves this. (H/t ) '
9.24014E+17,10/27/17 20:45,b'RT : Startling Report Finds Evidence Democrats May Have Attempted To Influence 2016 Election '
9.02617E+17,8/29/17 19:41,b'RT : When your chip breaks off in the salsa and you gotta send another chip in '
8.84263E+17,7/10/17 4:08,"b"" smh that kinda attitude is why you're at the bistro still"""
8.80417E+17,6/29/17 13:25,b' hahahahah ik i remember being so confused when u tweeted this\xf0\x9f\x98\x82nothing better to break the ice than\xe2\x80\xa6 '
8.58826E+17,4/30/17 23:30,"b'RT : what if quavo, offset, and takeoff all collabed \xf0\x9f\x98\xb3'"
8.43538E+17,3/19/17 19:00,b'WOW. our team is truly humbled by the immense support shown by all who donated. thank you to everyone who made this\xe2\x80\xa6 '
8.43287E+17,3/19/17 2:24,"b""I'm raising money for Scott's Card Got Declined at DQ. Click to Donate:  """
8.36002E+17,2/26/17 23:58,b'RT : if i dont hate myself who will'
8.33746E+17,2/20/17 18:30,"b""RT : wow I didn't get a single present on Presentidents Day this holiday sucks:////"""
8.31568E+17,2/14/17 18:15,b'  omw '
