id,created_at,text
1017261361678749698,2018-07-12 04:16:23,"b' of course! it\xe2\x80\x99s about time we start our own political talk show, clearly America needs us'"
1012710959759151105,2018-06-29 14:54:42,b'RT : This photo of Amelia Earhart before her first flight warms my heart '
1012554314810822656,2018-06-29 04:32:15,b'RT : '
1009614944726380545,2018-06-21 01:52:15,b'RT : I believe that Young Thug could effectively lead our country thru a national crisis off the strength of this photo alone h\xe2\x80\xa6'
993256137163198465,2018-05-06 22:28:11,b'Yee Yee  Calf Fry Festival '
992203260399374336,2018-05-04 00:44:26,b'  '
985634630928912384,2018-04-15 21:43:02,b'RT : '
983515705055248384,2018-04-10 01:23:11,b'this picture was taken at the exact moment someone put the yodeling\xe2\x80\xa6 '
981041157105995776,2018-04-03 05:30:13,b'RT : The most inspirational story of all time '
980956882008461313,2018-04-02 23:55:20,b'RT : #EnoughIsEnough we will be hosting a school supplies and book drive from April 2 - April 15. Solo donations can be made b\xe2\x80\xa6'
977297681952530433,2018-03-23 21:34:59,b'\xe2\x80\x9cyou have one hour to pack your things and vacate the property\xe2\x80\x9d \xe2\x80\xa6 '
975071858121936899,2018-03-17 18:10:21,"b""RT : Girlfriend: what's wrong\n\nBoyfriend: nothing I'm fine\n\nGf: okay cool\n\nBf: I just think it's funny how I had Arizona in\xe2\x80\xa6"""
974633995530096640,2018-03-16 13:10:27,b'RT : Everything wrong with Fox News in one video '
974512207215017984,2018-03-16 05:06:30,"b""RT : Hi my name is Trae I don't have a basketball game tomorrow """
945181474541703168,2017-12-25 06:36:38,b'RT : Merry Christmas to everyone besides Russ'
944859382524862464,2017-12-24 09:16:46,b'  '
926630772513169408,2017-11-04 02:02:46,b'RT : This is just straight up character assassination. No one deserves this. (H/t ) '
924014085901029376,2017-10-27 20:45:00,b'RT : Startling Report Finds Evidence Democrats May Have Attempted To Influence 2016 Election '
902617327275008000,2017-08-29 19:41:55,b'RT : When your chip breaks off in the salsa and you gotta send another chip in '
884263104204468224,2017-07-10 04:08:47,"b"" smh that kinda attitude is why you're at the bistro still"""
880416876240801792,2017-06-29 13:25:15,b' hahahahah ik i remember being so confused when u tweeted this\xf0\x9f\x98\x82nothing better to break the ice than\xe2\x80\xa6 '
858826002264457216,2017-04-30 23:30:49,"b'RT : what if quavo, offset, and takeoff all collabed \xf0\x9f\x98\xb3'"
843537793813024768,2017-03-19 19:00:56,b'WOW. our team is truly humbled by the immense support shown by all who donated. thank you to everyone who made this\xe2\x80\xa6 '
843286923426889729,2017-03-19 02:24:04,"b""I'm raising money for Scott's Card Got Declined at DQ. Click to Donate:  """
836002415195340801,2017-02-26 23:58:02,b'RT : if i dont hate myself who will'
833745766338420736,2017-02-20 18:30:55,"b""RT : wow I didn't get a single present on Presentidents Day this holiday sucks:////"""
831567627545931777,2017-02-14 18:15:46,b'  omw '
827262335802699778,2017-02-02 21:08:05,"b'RT : ""so Mr. Groundhog, is spring coming early this year?!""\n\nGroundhog: idk why don\'t u ask the 38.2 billion metric tons of fossi\xe2\x80\xa6'"
826853586319659013,2017-02-01 18:03:51,"b""RT : The left protest about Trump, but they're strangely silent about King Raedwald's invasion of Northumbria in AD 616"""
823065219723300864,2017-01-22 07:10:14,"b'RT : ""There were more people there but they go to a different school. You wouldn\'t know them."" '"
818551850224013312,2017-01-09 20:15:43,b'RT : I can not believe Donald glover had the AUDACITY to compare Migos to the Beatles. Migos are lightyears ahead of them. Just\xe2\x80\xa6'
814754991936335872,2016-12-30 08:48:22,"b'RT : has anyone successful ever been like ""im leaving fake people in 2016!""'"
772484865115553792,2016-09-04 17:21:58,b' this sounds like something Chief Keef would tweet'
