id,created_at,text
1.02E+18,7/12/18 4:16,"b' of course! it\xe2\x80\x99s about time we start our own political talk show, clearly America needs us'"
1.01E+18,6/29/18 14:54,b'RT : This photo of Amelia Earhart before her first flight warms my heart '
1.01E+18,6/29/18 4:32,b'RT : '
1.01E+18,6/21/18 1:52,b'RT : I believe that Young Thug could effectively lead our country thru a national crisis off the strength of this photo alone h\xe2\x80\xa6'
9.93E+17,5/6/18 22:28,b'Yee Yee  Calf Fry Festival '
9.92E+17,5/4/18 0:44,b'  '
9.86E+17,4/15/18 21:43,b'RT : '
9.84E+17,4/10/18 1:23,b'this picture was taken at the exact moment someone put the yodeling\xe2\x80\xa6 '
9.81E+17,4/3/18 5:30,b'RT : The most inspirational story of all time '
9.81E+17,4/2/18 23:55,b'RT : #EnoughIsEnough we will be hosting a school supplies and book drive from April 2 - April 15. Solo donations can be made b\xe2\x80\xa6'
9.77E+17,3/23/18 21:34,b'\xe2\x80\x9cyou have one hour to pack your things and vacate the property\xe2\x80\x9d \xe2\x80\xa6 '
9.75E+17,3/17/18 18:10,"b""RT : Girlfriend: what's wrong\n\nBoyfriend: nothing I'm fine\n\nGf: okay cool\n\nBf: I just think it's funny how I had Arizona in\xe2\x80\xa6"""
9.75E+17,3/16/18 13:10,b'RT : Everything wrong with Fox News in one video '
9.75E+17,3/16/18 5:06,"b""RT : Hi my name is Trae I don't have a basketball game tomorrow """
9.45E+17,12/25/17 6:36,b'RT : Merry Christmas to everyone besides Russ'
9.45E+17,12/24/17 9:16,b'  '
9.27E+17,11/4/17 2:02,b'RT : This is just straight up character assassination. No one deserves this. (H/t ) '
9.24E+17,10/27/17 20:45,b'RT : Startling Report Finds Evidence Democrats May Have Attempted To Influence 2016 Election '
9.03E+17,8/29/17 19:41,b'RT : When your chip breaks off in the salsa and you gotta send another chip in '
8.84E+17,7/10/17 4:08,"b"" smh that kinda attitude is why you're at the bistro still"""
8.80E+17,6/29/17 13:25,b' hahahahah ik i remember being so confused when u tweeted this\xf0\x9f\x98\x82nothing better to break the ice than\xe2\x80\xa6 '
8.59E+17,4/30/17 23:30,"b'RT : what if quavo, offset, and takeoff all collabed \xf0\x9f\x98\xb3'"
8.44E+17,3/19/17 19:00,b'WOW. our team is truly humbled by the immense support shown by all who donated. thank you to everyone who made this\xe2\x80\xa6 '
8.43E+17,3/19/17 2:24,"b""I'm raising money for Scott's Card Got Declined at DQ. Click to Donate:  """
8.36E+17,2/26/17 23:58,b'RT : if i dont hate myself who will'
8.34E+17,2/20/17 18:30,"b""RT : wow I didn't get a single present on Presentidents Day this holiday sucks:////"""
8.32E+17,2/14/17 18:15,b'  omw '
8.27E+17,2/2/17 21:08,"b'RT : ""so Mr. Groundhog, is spring coming early this year?!""\n\nGroundhog: idk why don\'t u ask the 38.2 billion metric tons of fossi\xe2\x80\xa6'"
8.27E+17,2/1/17 18:03,"b""RT : The left protest about Trump, but they're strangely silent about King Raedwald's invasion of Northumbria in AD 616"""
8.23E+17,1/22/17 7:10,"b'RT : ""There were more people there but they go to a different school. You wouldn\'t know them."" '"
8.19E+17,1/9/17 20:15,b'RT : I can not believe Donald glover had the AUDACITY to compare Migos to the Beatles. Migos are lightyears ahead of them. Just\xe2\x80\xa6'
8.15E+17,12/30/16 8:48,"b'RT : has anyone successful ever been like ""im leaving fake people in 2016!""'"
7.72E+17,9/4/16 17:21,b' this sounds like something Chief Keef would tweet'
7.62E+17,8/7/16 2:58,"b'thankfully this year I didn\'t have a single person say ""cha cha cha"" during my birthday song. I\'ve finally cut those people out of my life\xf0\x9f\x98\x8c'"
7.62E+17,8/6/16 23:49,b' the day is finally here\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x98\xa9\xf0\x9f\x92\xaf\xf0\x9f\x94\xa5\xf0\x9f\x92\xa8\xf0\x9f\x92\xa8\xf0\x9f\x92\xa8'
7.57E+17,7/24/16 3:22,"b""who's this drake guy hogging all the stage time at the Future concert???"""
7.56E+17,7/20/16 14:34,"b""RT : Remember the good ol' days on Twitter when all people fought about was gluten."""
7.53E+17,7/14/16 0:43,"b' so apparently I tried to dance battle my doctor when I woke up and then tried to rap battle the nurse, secretary, and my mom'"
7.53E+17,7/13/16 17:43,"b""just got the wells don't teeth out and I'm tryin freestyle rattle people on snap cha hmu if tryin. get flamed"""
7.46E+17,6/23/16 1:35,b'its time we stop comparing them &amp; counting rings &amp;just admit theyre BOTH 2 of the best players of our generation!\xf0\x9f\x98\xa4\xf0\x9f\x92\xaf\xf0\x9f\x94\xa5 '
7.45E+17,6/20/16 3:52,b'RT : '
7.44E+17,6/17/16 21:49,"b'the last few months Ive been too busy for Twitter..but now that Im finally less busy, should I start tweeting again?'"
7.41E+17,6/11/16 1:54,b'on the look out for a good time\xf0\x9f\x91\x80\xe2\x9b\xb5\xef\xb8\x8f  Linn Valley Lakes Properties '
7.33E+17,5/18/16 3:49,"b'RT : I hate when girls have ""Taken"" in their bio like that movie wasn\'t even that good\xf0\x9f\x99\x84'"
7.32E+17,5/16/16 18:49,"b""now that we've graduated, I can officially say this was by far the most valuable lesson I ever learned n high school """
7.31E+17,5/11/16 21:16,b'so now that schools out can we finally forgive and forget and have you unblock me?\xf0\x9f\x98\x81\xf0\x9f\x98\x8c  '
7.30E+17,5/11/16 16:29,b'the AP Gov test asked how the Supreme Court has changed over time and instead of answering I just drew this picture '
7.30E+17,5/9/16 17:13,b'RT : Stay woke America\xf0\x9f\x91\x80 #MaineIsntReal #MoonIsntReal '
7.30E+17,5/9/16 16:24,b'RT : Update:  still just really does not give a shit '
7.29E+17,5/6/16 13:54,b'the only thing more painful than watching this years video announcements was watching a compilation of this years video announcements'
7.25E+17,4/27/16 3:58,"b""I'm way more likely to die from the heart attack that flash flood warning just gave me than an actual flash flood"""
7.23E+17,4/19/16 23:40,"b""I'd say both of them are overrated personally """
7.21E+17,4/15/16 17:50,b'   '
7.20E+17,4/14/16 4:35,"b""RT : i bet isis wouldn't dare be all in the barbershop saying chief keef ain't bout this or chief keef ain't bout that"""
7.19E+17,4/9/16 18:11,b'RT :  *this is the clean version*'
7.19E+17,4/9/16 16:13,b'RT : he had to ask me 15 times before I finally said yes \xf0\x9f\x92\x81\xf0\x9f\x8f\xbc\xf0\x9f\x98\x89 '
7.18E+17,4/7/16 3:46,b'I never thought Id say this but Im almost half way kinda lowkey jealous of the people who got to go to the Bieber concert tonight'
7.17E+17,4/4/16 3:07,b'RT : Expose him. '
7.16E+17,4/1/16 18:13,"b"" this is my best tweet I don't regret it"""
7.08E+17,3/10/16 6:08,"b'happy birthday!! I hope ur next 18 years are filled with as much coffee, vapes, cows, and brunch as these were\xf0\x9f\x98\x98\xf0\x9f\x90\xae\xf0\x9f\x8d\x8c\xe2\x98\x95\xef\xb8\x8f\xf0\x9f\x92\xa8 '"
7.06E+17,3/4/16 17:33,b'*gets ticket driving 2the Rubio rally*\n\n*meets Governor Brownback*\n\n*asks him 2pardon my speeding ticket* \n\n*is told 2follow the law better*'
7.06E+17,3/4/16 17:18,"b""It was great to meet future President  today! Can't wait to caucus for him tomorrow! #ImWithMarco """
7.05E+17,3/2/16 4:05,b'RT : Christie looking like Trump said he was gone be the designated driver but he keep ordering shots '
7.05E+17,3/1/16 6:08,b'RT : when someone wakes you up in the morning '
7.04E+17,2/29/16 6:18,"b""I hardly ever get on Instagram so if I like ur pic from like 3 days ago just chill I swear you're not special I'm just busy"""
7.04E+17,2/28/16 23:32,b'RT : Revs ball out at WPA '
7.02E+17,2/24/16 3:42,b'South kids request Mrs. Mitchell as a substitute.'
7.02E+17,2/23/16 14:06,"b""RT : They say u r what u eat..(That's funny)\nI don't remember eating a goat!!"""
7.02E+17,2/21/16 23:48,"b'RT : THE SPLASH BROS CANNOT BE STOPPED\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 drops a career high 20 points, followed by  with 14\xf0\x9f\x92\xaf\xf0\x9f\x98\xa4 #\xe2\x80\xa6'"
7.01E+17,2/20/16 20:31,b'Making WPA great again one date at a time\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #DontVoteForTrumpTho '
6.99E+17,2/16/16 6:17,"b""wow I didn't get a single present on Presentidents Day this holiday sucks:////"""
6.99E+17,2/16/16 5:34,"b""RT : \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb don't \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb celebrate \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb president's \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb day \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb unless \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb you \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb were \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb a \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb president \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb"""
6.99E+17,2/14/16 17:18,"b'RT : No plans for Valentines Day? Dont worry, The Gluten State Warriors got you covered with a double header at 4:45 &amp; 6! h\xe2\x80\xa6'"
6.98E+17,2/12/16 1:00,b'*insert literally any geographical location on the entire planet* has such beautiful sunsets omg\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
